date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:31:12	2057/2057	---MC-	200	added ('OK')	text/css	date:Thu,%2010%20Apr%202025%2009:01:17%20GMT	https://fonts.googleapis.com/css2?family=Poppins:ital,wght@0,400;0,500;0,600;0,700;0,800;1,400;1,500;1,600;1,700;1,800&display=swap	C:/Users/LUPA/Downloads/coinex/fonts.googleapis.com/css2b83f.css	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:12	1497/1497	---M--	200	added ('OK')	image/svg+xml	etag:%225d9-62cff775cd040%22	https://templates.iqonic.design/coinex-dist/dashboard/assets/images/logo.svg	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/assets/images/logo.svg	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:14	1531814/1531814	---MCZ	200	added ('OK')	text/html	etag:%22175fa6-62cff776079d4-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/auth/sign-in-1.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/auth/sign-in-1.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:15	258234/258234	---MCZ	200	added ('OK')	text/html	etag:%223f0ba-62cff775e7629-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/auth/confirm-mail-1.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/auth/confirm-mail-1.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:15	3777/3777	---M-Z	200	added ('OK')	text/html	etag:%22ec1-62cff775f7fcf-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/auth/lock-screen.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/auth/lock-screen.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:16	3678/3678	---M-Z	200	added ('OK')	text/html	etag:%22e5e-62cff775fcdf1-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/auth/recoverpw.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/auth/recoverpw.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:17	6092942/6092942	---MCZ	200	added ('OK')	text/html	etag:%225cf88e-62cff7762007d-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/auth/sign-up-1.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/auth/sign-up-1.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:19	100140/100140	---M-Z	200	added ('OK')	text/html	etag:%221872c-62cff775b1ab6-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/app/user-list.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/app/user-list.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:20	2377089/2377089	---MCZ	200	added ('OK')	text/html	etag:%22244581-62cff775f7fcf-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/auth/lock-screen-1.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/auth/lock-screen-1.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:21	1923994/1923994	---MCZ	200	added ('OK')	text/html	etag:%221d5b9a-62cff775fcdf1-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/auth/recoverpw-1.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/auth/recoverpw-1.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
